idx,doi,title,venue,date,openalex_id,has_abstract,abstract,error
44,10.1257/aer.100.2.537,Confidence Risk and Asset Prices,American Economic Review,2010-05,https://openalex.org/W2148589404,True,"To give empirical content to the model, we directly measure confidence from the cross-section of forecasts from the Survey of Professional Forecasters. We show that there are frequent large moves in the confidence measure in the data. Moreover, in the data, these large moves are contemporaneously highly correlated with large moves in asset returns, highlighting the importance of confidence risk for asset prices. For our quantitative analysis, we calibrate the model to the observed confidence risk and con sumption data. We find that the model can quan titatively account for the negatively skewed and heavy-tailed distribution of returns, even though consumption growth does not contain jumps. Exploiting the fluctuations in confidence risks, we show that the model can capture short and long horizon predictability of excess returns and lack of consumption predictability by price to dividend ratio. Further, large moves in the con fidence measure lead to large declines (negative jumps ) in asset prices, though there are no large moves in consumption. Hence, our model pro vides a mechanism to account for the lack of connection between large asset price moves and consumption fundamentals. I. Model Set-up",
45,10.1257/aer.101.3.40,Crash and Wait? The Impact of the Great Recession on the Retirement Plans of Older Americans,American Economic Review,2011-05,https://openalex.org/W2110329287,True,"This study uses data from pre- and post-crash surveys from the Cognitive Economics study to examine the impact of recent stock and labor market wealth losses on the planned retirement ages of older Americans. Regression estimates imply that the average wealth loss between July 2008 and May/June 2009 is associated with an increase in planned retirement age of approximately 2.5 months. Furthermore, pessimism about future stock market returns is found to amplify the impact of wealth losses on retirement timing.",
46,10.1257/aer.101.3.222,Art and Money,American Economic Review,2011-05,https://openalex.org/W3082241546,True,"This paper investigates the impact of equity markets and top incomes on art prices. Using a newly constructed art market index, we demonstrate that equity market returns have had a significant impact on the price level in the art market over the last two centuries. We also find evidence that an increase in income inequality may lead to higher prices for art. Finally, the results of Johansen's cointegration tests strongly suggest the existence of a long-run relation between top incomes and art prices.",
47,10.1257/aer.101.7.2955,Endogenous Information Flows and the Clustering of Announcements,American Economic Review,2011-12,https://openalex.org/W3121692289,True,"We consider the strategic timing of information releases in a dynamic disclosure model. Because investors don't know whether or when the firm is informed, the firm will not necessarily disclose immediately. We show that bad market news can trigger the immediate release of information by firms. Conversely, good market news slows the release of information by firms. Thus, our model generates clustering of negative announcements. Surprisingly, this result holds only when firms can preemptively disclose their own information prior to the arrival of external information. These results have implications for conditional variance and skewness of stock returns. (JEL D21, D83, G12, G14, L11)",
48,10.1257/aer.103.3.623,Salience and Asset Prices,American Economic Review,2013-05,https://openalex.org/W3122092976,True,"We present a simple model of asset pricing in which payoff salience drives investors' demand for risky assets. The key implication is that extreme payoffs receive disproportionate weight in the market valuation of assets. The model accounts for several puzzles in finance in an intuitive way, including preference for assets with a chance of very high payoffs, an aggregate equity premium, and countercyclical variation in stock market returns.",
49,10.1257/aer.104.5.387,Trends in Earnings Differentials across College Majors and the Changing Task Composition of Jobs,American Economic Review,2014-05,https://openalex.org/W2061956796,True,"We show that, among college graduates, earnings differentials across field of study have increased substantially since the early 1990s. We study the degree to which this increase can be accounted for by changes in the labor market return to skills associated with a major. To do so, we define major-specific measures of the relative importance of abstract, routine, and manual tasks on the job, by linking majors to the occupations they typically lead to. Changes in the relationship between earnings and these measures can account for about two-thirds of the rise in inequality.",
50,10.1257/aer.20131513,Are Sticky Prices Costly? Evidence from the Stock Market,American Economic Review,2015-12,https://openalex.org/W3122991868,True,"We show that after monetary policy announcements, the conditional volatility of stock market returns rises more for firms with stickier prices than for firms with more flexible prices. This differential reaction is economically large and strikingly robust to a broad array of checks. These results suggest that menu costs—broadly defined to include physical costs of price adjustment, informational frictions, etc.—are an important factor for nominal price rigidity at the micro level. We also show that our empirical results are qualitatively and, under plausible calibrations, quantitatively consistent with New Keynesian macroeconomic models in which firms have heterogeneous price stickiness. (JEL E12, E31, E43, E44, E52, G12, L11)",
51,,The Validity of ROI as a Measure of Business Performance,American Economic Review,2016-01,,False,,no_doi_found
52,10.1257/aer.20150781,Using a Free Permit Rule to Forecast the Marginal Abatement Cost of Proposed Climate Policy,American Economic Review,2017-03,https://openalex.org/W2397163080,True,"This paper develops a method for forecasting the marginal abatement cost (MAC) of climate policy using three features of the failed Waxman-Markey bill. First, the MAC is revealed by the price of traded permits. Second, the permit price is estimated using a regression discontinuity design (RDD) comparing stock returns of firms on either side of the policy's free permit cutoff rule. Third, because Waxman-Markey was never implemented, I extend the RDD approach to incorporate prediction market prices which normalize estimates by policy realization probabilities. A final bounding analysis recovers a MAC range of $5 to $19 per ton CO 2 e. (JEL G12, G14, Q52, Q54, Q58)",
53,10.1257/aer.20110433,The Social Cost of Near-Rational Investment,American Economic Review,2017-03,https://openalex.org/W3123867756,True,"We show that the stock market may fail to aggregate information even if it appears to be efficient, and that the resulting decrease in the information content of prices may drastically reduce welfare. We solve a macroeconomic model in which information about fundamentals is dispersed and households make small, correlated errors when forming expectations about future productivity. As information aggregates in the market, these errors amplify and crowd out the information content of stock prices. When prices reflect less information, the conditional variance of stock returns rises, causing an increase in uncertainty and costly distortions in consumption, capital accumulation, and labor supply. (JEL D14, D83, D84, E21, E22, E24, G14)",
54,10.1257/aer.p20171094,Worker Betas: Five Facts about Systematic Earnings Risk,American Economic Review,2017-05,https://openalex.org/W2603172731,True,"The magnitude of and heterogeneity in systematic earnings risk has important implications for various theories in macro, labor, and financial economics. Using administrative data, we document how the aggregate risk exposure of individual earnings to GDP and stock returns varies across gender, age, the worker's earnings level, and industry. Aggregate risk exposure is U-shaped with respect to the earnings level. In the middle of the earnings distribution, aggregate risk exposure is higher for males, younger workers, and construction and durable manufacturing. At the top of the earnings distribution, aggregate risk exposure is higher for older workers and finance.",
55,10.1257/aer.20180019,The Quanto Theory of Exchange Rates,American Economic Review,2019-02,https://openalex.org/W2607888471,True,"We present a new identity that relates expected exchange rate appreciation to a risk-neutral covariance term, and use it to motivate a currency forecasting variable based on the prices of quanto index contracts. We show via panel regressions that the quanto forecast variable is an economically and statistically significant predictor of currency appreciation and of excess returns on currency trades. Out of sample, the quanto variable outperforms predictions based on uncovered interest parity, on purchasing power parity, and on a random walk as a forecaster of differential (dollar-neutral) currency appreciation. (JEL C53, E43, F31, F37, G12, G15)",
56,10.1257/aer.20180924,Upping the Ante: The Equilibrium Effects of Unconditional Grants to Private Schools,American Economic Review,2020-09,https://openalex.org/W2888972823,True,"We assess whether financing can help private schools, which now account for one-third of primary school enrollment in low- and middle-income countries. Our experiment allocated unconditional cash grants to either one (L) or all (H) private schools in a village. In both arms, enrollment and revenues increased, leading to above-market returns. However, test scores increased only in H schools, accompanied by higher fees, and a greater focus on teachers. We provide a model demonstrating that market forces can provide endogenous incentives to increase quality and increased financial saturation can be used to leverage competition, generating socially desirable outcomes. (JEL I21, I22, I25, I28, L22, L26, N75, O15, O16)",
57,10.1257/aer.20231725,Market-Wide Predictable Price Pressure,American Economic Review,2025-08,https://openalex.org/W4413790689,True,"We demonstrate that predictable uninformed cash flows forecast aggregate market stock returns. Buying pressure from dividend payments (announced weeks prior) predicts higher value-weighted market returns, with returns for the top quintile of payment days four times higher than the lowest. This holds internationally and increases when reinvestment is high and market liquidity is low. We estimate a market-level price multiplier of 1.9. These results suggest price pressure is a widespread result of flows, not an anomaly. (JEL G12, G14, G35)",
58,10.1257/aer.20230463,The Value of Software,American Economic Review,2025-09,https://openalex.org/W4414662318,True,"Software is one of the most important assets that needs to be priced in the digital economy. It has emerged as a disruptive technology, with companies primarily valued for their software offerings growing from 2 percent to 13 percent of market share between 1996 and 2023. We document persistent anomalies in growth forecasts and stock returns for software companies, indicating significant deviations from rational expectations over multiple decades. Our findings are consistent with Bayesian investors gradually learning about software’s growing importance, highlighting how markets can be very slow to discern fundamental shifts from transient shocks in noisy data. (JEL D22, G12, G32, L14, L86)",
59,10.1111/j.1540-6261.2006.00848.x,A Consumption‐Based Explanation of Expected Stock Returns,The Journal of Finance,2006-03,https://openalex.org/W2149180867,True,"ABSTRACT When utility is nonseparable in nondurable and durable consumption and the elasticity of substitution between the two consumption goods is sufficiently high, marginal utility rises when durable consumption falls. The model explains both the cross‐sectional variation in expected stock returns and the time variation in the equity premium. Small stocks and value stocks deliver relatively low returns during recessions, when durable consumption falls, which explains their high average returns relative to big stocks and growth stocks. Stock returns are unexpectedly low at business cycle troughs, when durable consumption falls sharply, which explains the countercyclical variation in the equity premium.",
60,10.1111/j.1540-6261.2006.00851.x,Does Weak Governance Cause Weak Stock Returns? An Examination of Firm Operating Performance and Investors' Expectations,The Journal of Finance,2006-03,https://openalex.org/W3121835489,True,"ABSTRACT We investigate Gompers, Ishii, and Metrick's (2003) finding that firms with weak shareholder rights exhibit significant stock market underperformance. If the relation between poor governance and poor returns is causal, we expect that the market is negatively surprised by the poor operating performance of weak governance firms. We find that firms with weak shareholder rights exhibit significant operating underperformance. However, analysts' forecast errors and earnings announcement returns show no evidence that this underperformance surprises the market. Our results are robust to controls for takeover activity. Overall, our results do not support the hypothesis that weak governance causes poor stock returns.",
61,10.1111/j.1540-6261.2006.00852.x,Are Busy Boards Effective Monitors?,The Journal of Finance,2006-03,https://openalex.org/W4252449759,True,"ABSTRACT Firms with busy boards, those in which a majority of outside directors hold three or more directorships, are associated with weak corporate governance. These firms exhibit lower market‐to‐book ratios, weaker profitability, and lower sensitivity of CEO turnover to firm performance. Independent but busy boards display CEO turnover‐performance sensitivities indistinguishable from those of inside‐dominated boards. Departures of busy outside directors generate positive abnormal returns (ARs). When directors become busy as a result of acquiring an additional directorship, other companies in which they hold board seats experience negative ARs. Busy outside directors are more likely to depart boards following poor performance.",
62,10.1111/j.1540-6261.2006.00859.x,Pension Plan Funding and Stock Market Efficiency,The Journal of Finance,2006-03,https://openalex.org/W2559297797,True,"ABSTRACT The paper argues that the market significantly overvalues firms with severely underfunded pension plans. These companies earn lower stock returns than firms with healthier pension plans for at least 5 years after the first emergence of the underfunding. The low returns are not explained by risk, price momentum, earnings momentum, or accruals. Further, the evidence suggests that investors do not anticipate the impact of the pension liability on future earnings, and they are surprised when the negative implications of underfunding ultimately materialize. Finally, underfunded firms have poor operating performance, and they earn low returns, although they are value companies.",
63,10.1111/j.1540-6261.2006.00894.x,Corporate Financial Policy and the Value of Cash,The Journal of Finance,2006-08,https://openalex.org/W3121986562,True,"ABSTRACT We examine the cross‐sectional variation in the marginal value of corporate cash holdings that arises from differences in corporate financial policy. We begin by providing semi‐quantitative predictions for the value of an extra dollar of cash depending upon the likely use of that dollar, and derive a set of intuitive hypotheses to test empirically. By examining the variation in excess stock returns over the fiscal year, we find that the marginal value of cash declines with larger cash holdings, higher leverage, better access to capital markets, and as firms choose greater cash distribution via dividends rather than repurchases.",
64,10.1111/j.1540-6261.2006.00895.x,Does Corporate Headquarters Location Matter for Stock Returns?,The Journal of Finance,2006-08,https://openalex.org/W3122594041,True,"ABSTRACT We document strong comovement in the stock returns of firms headquartered in the same geographic area. Moreover, stocks of companies that change their headquarters location experience a decrease in their comovement with stocks from the old location and an increase in their comovement with stocks from the new location. The local comovement of stock returns is not explained by economic fundamentals and is stronger for smaller firms with more individual investors and in regions with less financially sophisticated residents. We argue that price formation in equity markets has a significant geographic component linked to the trading patterns of local residents.",
65,10.1111/j.1540-6261.2006.00885.x,Investor Sentiment and the Cross‐Section of Stock Returns,The Journal of Finance,2006-08,https://openalex.org/W3121467893,True,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns.",
66,10.1111/j.1540-6261.2006.00893.x,Industry Concentration and Average Stock Returns,The Journal of Finance,2006-08,https://openalex.org/W2163759112,True,"ABSTRACT Firms in more concentrated industries earn lower returns, even after controlling for size, book‐to‐market, momentum, and other return determinants. Explanations based on chance, measurement error, capital structure, and persistent in‐sample cash flow shocks do not explain this finding. Drawing on work in industrial organization, we posit that either barriers to entry in highly concentrated industries insulate firms from undiversifiable distress risk, or firms in highly concentrated industries are less risky because they engage in less innovation, and thereby command lower expected returns. Additional time‐series tests support these risk‐based interpretations.",
67,10.1111/j.1540-6261.2006.01060.x,Liquidity and Autocorrelations in Individual Stock Returns,The Journal of Finance,2006-09,https://openalex.org/W3123436100,True,"ABSTRACT This paper documents a strong relationship between short‐run reversals and stock illiquidity, even after controlling for trading volume. The largest reversals and the potential contrarian trading strategy profits occur in high turnover, low liquidity stocks, as the price pressures caused by non‐informational demands for immediacy are accommodated. However, the contrarian trading strategy profits are smaller than the likely transactions costs. This lack of profitability and the fact that the overall findings are consistent with rational equilibrium paradigms suggest that the violation of the efficient market hypothesis due to short‐term reversals is not so egregious after all.",
68,10.1111/j.1540-6261.2009.01481.x,Financially Constrained Stock Returns,The Journal of Finance,2006-10,https://openalex.org/W2890507387,True,"ABSTRACT We study the effect of financial constraints on risk and expected returns by extending the investment‐based asset pricing framework to incorporate retained earnings, debt, costly equity, and collateral constraints on debt capacity. Quantitative results show that more financially constrained firms are riskier and earn higher expected stock returns than less financially constrained firms. Intuitively, by preventing firms from financing all desired investments, collateral constraints restrict the flexibility of firms in smoothing dividend streams in the face of aggregate shocks. The inflexibility mechanism also gives rise to a convex relation between market leverage and expected stock returns.",
69,10.1111/j.1540-6261.2006.01005.x,Trading Volume: Implications of an Intertemporal Capital Asset Pricing Model,The Journal of Finance,2006-12,https://openalex.org/W3122325428,True,"ABSTRACT We derive an intertemporal asset pricing model and explore its implications for trading volume and asset returns. We show that investors trade in only two portfolios: the market portfolio, and a hedging portfolio that is used to hedge the risk of changing market conditions. We empirically identify the hedging portfolio using weekly volume and returns data for U.S. stocks, and then test two of its properties implied by the theory: Its return should be an additional risk factor in explaining the cross section of asset returns, and should also be the best predictor of future market returns.",
70,10.1111/j.1540-6261.2006.01008.x,"Insider Trading, News Releases, and Ownership Concentration",The Journal of Finance,2006-12,https://openalex.org/W2566919490,True,"ABSTRACT This paper investigates the market's reaction to U.K. insider transactions and analyzes whether the reaction depends on the firm's ownership. We present three major findings. First, differences in regulation between the U.K. and United States, in particular the speedier reporting of trades in the U.K., may explain the observed larger abnormal returns in the U.K. Second, ownership by directors and outside shareholders has an impact on the abnormal returns. Third, it is important to adjust for news released before directors' trades. In particular, trades preceded by news on mergers and acquisitions and CEO replacements contain significantly less information.",
71,10.1111/j.1540-6261.2006.01015.x,Can Mutual Fund “Stars” Really Pick Stocks? New Evidence from a Bootstrap Analysis,The Journal of Finance,2006-12,https://openalex.org/W3122713808,True,"ABSTRACT We apply a new bootstrap statistical technique to examine the performance of the U.S. open‐end, domestic equity mutual fund industry over the 1975 to 2002 period. A bootstrap approach is necessary because the cross section of mutual fund alphas has a complex nonnormal distribution due to heterogeneous risk‐taking by funds as well as nonnormalities in individual fund alpha distributions. Our bootstrap approach uncovers findings that differ from many past studies. Specifically, we find that a sizable minority of managers pick stocks well enough to more than cover their costs. Moreover, the superior alphas of these managers persist.",
72,10.1111/j.1540-6261.2007.01226.x,On the Importance of Measuring Payout Yield: Implications for Empirical Asset Pricing,The Journal of Finance,2007-03,https://openalex.org/W3023246137,True,"ABSTRACT We investigate the empirical implications of using various measures of payout yield rather than dividend yield for asset pricing models. We find statistically and economically significant predictability in the time series when payout (dividends plus repurchases) and net payout (dividends plus repurchases minus issuances) yields are used instead of the dividend yield. Similarly, we find that payout (net payout) yields contains information about the cross section of expected stock returns exceeding that of dividend yields, and that the high minus low payout yield portfolio is a priced factor.",
73,10.1111/j.1540-6261.2007.01230.x,Efficiency and the Bear: Short Sales and Markets Around the World,The Journal of Finance,2007-05,https://openalex.org/W2890302625,True,"ABSTRACT We analyze cross‐sectional and time‐series information from 46 equity markets around the world to consider whether short sales restrictions affect the efficiency of the market and the distributional characteristics of returns to individual stocks and market indices. We find some evidence that prices incorporate negative information faster in countries where short sales are allowed and practiced. A common conjecture by regulators is that short sales restrictions can reduce the relative severity of a market panic. We find strong evidence that in markets where short selling is either prohibited or not practiced, market returns display significantly less negative skewness.",
74,10.1111/j.1540-6261.2007.01234.x,Simple Forecasts and Paradigm Shifts,The Journal of Finance,2007-05,https://openalex.org/W3122292040,True,"ABSTRACT We study the asset pricing implications of learning in an environment in which the true model of the world is a multivariate one, but agents update only over the class of simple univariate models. Thus, if a particular simple model does a poor job of forecasting over a period of time, it is discarded in favor of an alternative simple model. The theory yields a number of distinctive predictions for stock returns, generating forecastable variation in the magnitude of the value‐glamour return differential, in volatility, and in the skewness of returns. We validate several of these predictions empirically.",
75,10.1111/j.1540-6261.2007.01253.x,"Lazy Investors, Discretionary Consumption, and the Cross‐Section of Stock Returns",The Journal of Finance,2007-08,https://openalex.org/W3125450452,True,"ABSTRACT When consumption betas of stocks are computed using year‐over‐year consumption growth based upon the fourth quarter, the consumption‐based asset pricing model (CCAPM) explains the cross‐section of stock returns as well as the Fama and French (1993) three‐factor model. The CCAPM's performance deteriorates substantially when consumption growth is measured based upon other quarters. For the CCAPM to hold at any given point in time, investors must make their consumption and investment decisions simultaneously at that point in time. We suspect that this is more likely to happen during the fourth quarter, given investors' tax year ends in December.",
76,10.1111/j.1540-6261.2007.01257.x,Corporate Governance and Firm Value: The Impact of the 2002 Governance Rules,The Journal of Finance,2007-08,https://openalex.org/W2282044143,True,"ABSTRACT The 2001 to 2002 corporate scandals led to the Sarbanes–Oxley Act and to various amendments to the U.S. stock exchanges' regulations. We find that the announcement of these rules has a significant effect on firm value. Firms that are less compliant with the provisions of the rules earn positive abnormal returns compared to firms that are more compliant. We also find variation in the response across firm size. Large firms that are less compliant earn positive abnormal returns but small firms that are less compliant earn negative abnormal returns, suggesting that some provisions are detrimental to small firms.",
77,10.1111/j.1540-6261.2007.01262.x,Sports Sentiment and Stock Returns,The Journal of Finance,2007-08,https://openalex.org/W2134183765,True,"ABSTRACT This paper investigates the stock market reaction to sudden changes in investor mood. Motivated by psychological evidence of a strong link between soccer outcomes and mood, we use international soccer results as our primary mood variable. We find a significant market decline after soccer losses. For example, a loss in the World Cup elimination stage leads to a next‐day abnormal stock return of −49 basis points. This loss effect is stronger in small stocks and in more important games, and is robust to methodological changes. We also document a loss effect after international cricket, rugby, and basketball games.",
78,10.1111/j.1540-6261.2007.01259.x,Corporate Governance and Acquirer Returns,The Journal of Finance,2007-08,https://openalex.org/W3124242212,True,"ABSTRACT We examine whether corporate governance mechanisms, especially the market for corporate control, affect the profitability of firm acquisitions. We find that acquirers with more antitakeover provisions experience significantly lower announcement‐period abnormal stock returns. This supports the hypothesis that managers at firms protected by more antitakeover provisions are less subject to the disciplinary power of the market for corporate control and thus are more likely to indulge in empire‐building acquisitions that destroy shareholder value. We also find that acquirers operating in more competitive industries or separating the positions of CEO and chairman of the board experience higher abnormal announcement returns.",
79,10.1111/j.1540-6261.2007.01272.x,Multimarket Trading and Liquidity: Theory and Evidence,The Journal of Finance,2007-09,https://openalex.org/W2146246112,True,ABSTRACT We develop a new model of multimarket trading to explain the differences in the foreign share of trading volume of internationally cross‐listed stocks. The model predicts that the trading volume of a cross‐listed stock is proportionally higher on the exchange in which the cross‐listed asset returns have greater correlation with returns of other assets traded on that market. We find robust empirical support for this prediction using stock return and volume data on 251 non‐U.S. stocks cross‐listed on major U.S. exchanges.,
80,10.1111/j.1540-6261.2007.01283.x,Price Convexity and Skewness,The Journal of Finance,2007-09,https://openalex.org/W2031934709,True,"ABSTRACT This paper develops a model in which investors who are prohibited from short selling agree to disagree on the precision of a publicly observed signal. The model implies that the equilibrium price is a convex function of the public signal. The model predicts that (1) the stock price reacts more to good news than to bad news; (2) the skewness of stock returns is positively correlated with contemporaneous returns, but negatively correlated with lagged returns; (3) short sale constraints increase rather than decrease skewness; and (4) disagreement about information precision increases skewness. Empirical tests conducted find supportive evidence for all these predictions.",
81,10.1111/j.1540-6261.2007.01270.x,Short‐Sales Constraints and Price Discovery: Evidence from the Hong Kong Market,The Journal of Finance,2007-09,https://openalex.org/W2037270550,True,"ABSTRACT Short‐sales practices in the Hong Kong stock market are unique in that only stocks on a list of designated securities can be sold short. By analyzing the price effects following the addition of individual stocks to the list, we find that short‐sales constraints tend to cause stock overvaluation and that the overvaluation effect is more dramatic for individual stocks for which wider dispersion of investor opinions exists. These findings are consistent with Miller's (1977) intuition and other optimism models. We also document higher volatility and less positive skewness of individual stock returns when short sales are allowed.",
82,10.1111/j.1540-6261.2007.01295.x,Long‐Term Return Reversals: Overreaction or Taxes?,The Journal of Finance,2007-11,https://openalex.org/W2024112545,True,"ABSTRACT Long‐term reversals in U.S. stock returns are better explained as the rational reactions of investors to locked‐in capital gains than an irrational overreaction to news. Predictors of returns based on the overreaction hypothesis have no power, while those that measure locked‐in capital gains do, completely subsuming past returns measures that are traditionally used to predict long‐term returns. In data from Hong Kong, where investment income is not taxed, reversals are nonexistent, and returns are not forecastable either by traditional measures or by measures based on the capital gains lock‐in hypothesis that successfully predict U.S. returns.",
83,10.1111/j.1540-6261.2008.01316.x,Individual Investor Trading and Stock Returns,The Journal of Finance,2008-01,https://openalex.org/W3122720375,True,"ABSTRACT This paper investigates the dynamic relation between net individual investor trading and short‐horizon returns for a large cross‐section of NYSE stocks. The evidence indicates that individuals tend to buy stocks following declines in the previous month and sell following price increases. We document positive excess returns in the month following intense buying by individuals and negative excess returns after individuals sell, which we show is distinct from the previously shown past return or volume effects. The patterns we document are consistent with the notion that risk‐averse individuals provide liquidity to meet institutional demand for immediacy.",
84,10.1111/j.1540-6261.2008.01311.x,Which Money Is Smart? Mutual Fund Buys and Sells of Individual and Institutional Investors,The Journal of Finance,2008-01,https://openalex.org/W2045330327,True,"ABSTRACT Gruber (1996) and Zheng (1999) report that investors channel money toward mutual funds that subsequently perform well. Sapp and Tiwari (2004) find that this “smart money” effect no longer holds after controlling for stock return momentum. While prior work uses quarterly U.S. data, we employ a British data set of monthly fund inflows and outflows differentiated between individual and institutional investors. We document a robust smart money effect in the United Kingdom. The effect is caused by buying (but not selling) decisions of both individuals and institutions. Using monthly data available post‐1991 we show that money is comparably smart in the United States.",
85,10.1111/j.1540-6261.2008.01315.x,Price Volatility and Investor Behavior in an Overlapping Generations Model with Information Asymmetry,The Journal of Finance,2008-01,https://openalex.org/W3122240051,True,"ABSTRACT This paper studies an overlapping generations model with multiple securities and heterogeneously informed agents. The model produces multiple equilibria, including highly volatile equilibria that can exhibit strong or weak correlations between asset returns—even when asset supplies and future dividends are uncorrelated across assets. Less informed agents rationally behave like trend‐followers, while better informed agents follow contrarian strategies. Trading volume has a hump‐shaped relation with information precision and is positively correlated with absolute price changes. Finally, accurate information increases the volatility and correlation of stock returns in the highly volatile, strongly correlated equilibrium.",
86,10.1111/j.1540-6261.2008.01335.x,Share Issuance and Cross‐sectional Returns,The Journal of Finance,2008-04,https://openalex.org/W2142043708,True,"ABSTRACT Post‐1970, share issuance exhibits a strong cross‐sectional ability to predict stock returns. This predictive ability is more statistically significant than the individual predictive ability of size, book‐to‐market, or momentum. Our finding is related to research that finds that long‐run returns are associated with share repurchase announcements, seasoned equity offerings, and stock mergers, although our results remain strong even after exclusion of the data used in these studies. We estimate the issuance relation pre‐1970 and find no statistically significant predictive ability for most holding periods.",
87,10.1111/j.1540-6261.2008.01337.x,Underreaction to Dividend Reductions and Omissions?,The Journal of Finance,2008-04,https://openalex.org/W2073273141,True,"ABSTRACT Using a sample of 2,337 cash dividend reduction or omission announcements over the 1927 to 1999 period, this study reports significant negative post‐announcement long‐term abnormal returns, which last 1 year only. However, this long‐term abnormal performance is driven by the post‐earnings‐announcement drift. After controlling for the earnings performance and the skewness of buy‐and‐hold abnormal returns, there is no compelling evidence of a post‐dividend‐reduction or post‐dividend‐omission price drift.",
88,10.1111/j.1540-6261.2008.01336.x,Earnings Management and Firm Performance Following Open‐Market Repurchases,The Journal of Finance,2008-04,https://openalex.org/W3125049125,True,"ABSTRACT Both post‐repurchase abnormal returns and reported improvement in operating performance are driven, at least in part, by pre‐repurchase downward earnings management rather than genuine growth in profitability. The downward earnings management increases with both the percentage of the company that managers repurchase and CEO ownership. Pre‐repurchase abnormal accruals are also negatively associated with future performance, with the association driven mainly by those firms that report the largest income‐decreasing abnormal accruals. The study suggests that one reason firms experience post‐repurchase abnormal returns is that post‐repurchase realized earnings growth exceeds expectations formed on the basis of pre‐repurchase deflated earnings numbers.",
89,10.1111/j.1540-6261.2008.01362.x,More Than Words: Quantifying Language to Measure Firms' Fundamentals,The Journal of Finance,2008-05,https://openalex.org/W3122563224,True,"ABSTRACT We examine whether a simple quantitative measure of language can be used to predict individual firms' accounting earnings and stock returns. Our three main findings are: (1) the fraction of negative words in firm‐specific news stories forecasts low firm earnings; (2) firms' stock prices briefly underreact to the information embedded in negative words; and (3) the earnings and return predictability from negative words is largest for the stories that focus on fundamentals. Together these findings suggest that linguistic media content captures otherwise hard‐to‐quantify aspects of firms' fundamentals, which investors quickly incorporate into stock prices.",
90,10.1111/j.1540-6261.2008.01357.x,The Price of Immediacy,The Journal of Finance,2008-05,https://openalex.org/W2105539751,True,"ABSTRACT This paper models transaction costs as the rents that a monopolistic market maker extracts from impatient investors who trade via limit orders. We show that limit orders are American options. The limit prices inducing immediate execution of the order are functionally equivalent to bid and ask prices and can be solved for various transaction sizes to characterize the market maker's entire supply curve. We find considerable empirical support for the model's predictions in the cross‐section of NYSE firms. The model produces unbiased, out‐of‐sample forecasts of abnormal returns for firms added to the S&amp;P 500 index.",
91,10.1111/j.1540-6261.2008.01356.x,Stock Returns in Mergers and Acquisitions,The Journal of Finance,2008-05,https://openalex.org/W3122150082,True,"ABSTRACT This paper develops a real options framework to analyze the behavior of stock returns in mergers and acquisitions. In this framework, the timing and terms of takeovers are endogenous and result from value‐maximizing decisions. The implications of the model for abnormal announcement returns are consistent with the available empirical evidence. In addition, the model generates new predictions regarding the dynamics of firm‐level betas for the period surrounding control transactions. Using a sample of 1,086 takeovers of publicly traded U.S. firms between 1985 and 2002, we present new evidence on the dynamics of firm‐level betas, which is strongly supportive of the model's predictions.",
92,10.1111/j.1540-6261.2008.01370.x,Asset Growth and the Cross‐Section of Stock Returns,The Journal of Finance,2008-07,https://openalex.org/W3124591263,True,"ABSTRACT We test for firm‐level asset investment effects in returns by examining the cross‐sectional relation between firm asset growth and subsequent stock returns. Asset growth rates are strong predictors of future abnormal returns. Asset growth retains its forecasting ability even on large capitalization stocks. When we compare asset growth rates with the previously documented determinants of the cross‐section of returns (i.e., book‐to‐market ratios, firm capitalization, lagged returns, accruals, and other growth measures), we find that a firm's annual asset growth rate emerges as an economically and statistically significant predictor of the cross‐section of U.S. stock returns.",
93,10.1111/j.1540-6261.2008.01375.x,The Selection and Termination of Investment Management Firms by Plan Sponsors,The Journal of Finance,2008-07,https://openalex.org/W2141377059,True,"ABSTRACT We examine the selection and termination of investment management firms by 3,400 plan sponsors between 1994 and 2003. Plan sponsors hire investment managers after large positive excess returns but this return‐chasing behavior does not deliver positive excess returns thereafter. Investment managers are terminated for a variety of reasons, including but not limited to underperformance. Excess returns after terminations are typically indistinguishable from zero but in some cases positive. In a sample of round‐trip firing and hiring decisions, we find that if plan sponsors had stayed with fired investment managers, their excess returns would be no different from those delivered by newly hired managers. We uncover significant variation in pre‐ and post‐hiring and firing returns that is related to plan sponsor characteristics.",
94,10.1111/j.1540-6261.2008.01398.x,Marketwide Private Information in Stocks: Forecasting Currency Returns,The Journal of Finance,2008-09,https://openalex.org/W3122420451,True,"ABSTRACT We present a model of equity trading with informed and uninformed investors where informed investors trade on firm‐specific and marketwide private information. The model is used to identify the component of order flow due to marketwide private information. Estimated trades driven by marketwide private information display little or no correlation with the first principal component in order flow. Indeed, we find that co‐movement in order flow captures variation mostly in liquidity trades. Marketwide private information obtained from equity market data forecasts industry stock returns, and also currency returns.",
