topic_label,key_terms,first_5_terms
Electronics,"playstation, nintendo, console, kodak, digital camera,
lcd, flatpanel, xbox, cdrom, electronic art, videogame, photographic, video game,
lenses, highdefini- tion, panasonic, compact disk, camera, photography, stereo","playstation, nintendo, console, kodak, digital camera"
Phone companies,"att, sprint,
longdistance,
local phone, bell atlantic, phone company, baby bell, bell company, mci,
longdistance company, regional bell, mccaw, phone service, qwest,
longdistance service, bellsouth, nynex,
telephone company, ameritech, nextel","att, sprint, longdistance, local phone, bell atlantic"
Computers,"ibm, compaq, mainframe, dell, mainframe computer, machine corps, armonk, computer giant, packard, computer business, workstation, big blue, supercom- puter, cray, compaq computer, computer company, computer associate, emc, computer market, business machine Table IA.I – Continued from previous page","ibm, compaq, mainframe, dell, mainframe computer"
Software,"linux, window operate, ballmer, microsoft window, redmond wash, redmond, microsoft, oracle, software giant,
lotus, software industry, ellison, bill gate, spreadsheet, netscape, novell, sap, adobe, window,
java","linux, window operate, ballmer, microsoft window, redmond wash"
Microchips,"amd, advance micro, memory chip, santa clara, semiconductor industry, clara,
intel chip,
intel, clara calif, chip maker, chip, memorychip, computer chip, micro device, micron, pentium, cisco, micro, national semiconductor, seagate","amd, advance micro, memory chip, santa clara, semiconductor industry"
Steel,"steel price, steel
industry, steelmaker, alcan, steel product, nucor, steel producer, steel, steel mill, steel company, aluminum, bethlehem steel, bethlehem, steelmaking, alcoa, usx, newsprint, smelter, raw material, metric","steel price, steel
industry, steelmaker, alcan, steel product"
Mining,"bhp, rio tinto,
tinto, newmont, bhp billiton, mining company, miner, mining, billiton, newmont mining, mining concern, sydney australia, anglo american, gold producer, goldmining, coal miner, mines, melbourne, anglo, australian","bhp, rio tinto, tinto, newmont, bhp billiton"
Machinery,"machine tool, manufacture plant, whirlpool, manufacture facility, construction equipment, manufacture operation, manufacture capacity, appliance maker, production facility, cummins, production line,
factory, manufacture company, supply chain, deere, caterpillar, machinery, manufacture, wash machine, assembly line","machine tool, manufacture plant, whirlpool, manufacture facility, construction equipment"
Oil drilling,"exxon, drill, cubic feet, mobil, exxon mobil, drill rig, offshore oil, chevron, amoco, royal dutchshell, occidental, oil spill, dutchshell, cubic, arco, dutchshell group, deepwater, offshore drill,
liquefied natural, conocophillips","exxon, drill, cubic feet, mobil, exxon mobil"
Agriculture,"genetically modified,
farm, growers, poultry, madcow,
farmer, ranchers,
tyson food, agriculture secretary,
tyson,
farmland, cow, usda, agriculture, agribusi- ness, cargill,
tomatoes, agricultural, beef,
fertilizer","genetically modified, farm, growers, poultry, madcow"
Oil market,"opec, nonopec, opec member, oil minister, oil demand, world oil, brent crude, oil market, oil exporter, export country, petroleum export, refiner, oil supply, international energy, crude price, oil price, higher oil, high oil, oil export, oil refiner","opec, nonopec, opec member, oil minister, oil demand"
Record high,"record level, highest
level, reach record, hit record, previous record, highest, pentup demand, high level, pentup, alltime, alltime high, strong demand, record high, set record, higher level, helped fuel, remain strong, helped drive, helped push, surpass","record level, highest
level, reach record, hit record, previous record"
Economic growth,"gdp growth, productivity growth, gdp, domestic product, gross domestic, economy grew, national product, economy expand, gross national, growth forecast, economic growth, business cycle, economic output, gnp, economic performance, growth rate, annual growth, slow economic, economy grow, economic expansion","gdp growth, productivity growth, gdp, domestic product, gross domestic"
Federal Reserve,"greenspan, alan greenspan, yellen,
federalfunds rate,
federalfunds,
fomc, chairman alan, raise rate,
janet yellen,
inflation expectation, reserve chairman, quarterpoint, policy meet, market committee,
target rate,
federal open, bernanke, cut rate, rate hike, raise interest Table IA.I – Continued from previous page","greenspan, alan greenspan, yellen, federalfunds rate, federalfunds"
European sovereign,"ecb,
imf, eurozone, euro zone, monetary fund,
international monetary, draghi, eurozone country,
trichet, ecb president,
jeanclaude trichet, greece, eurozone economy, greek, athens, austerity measure, bailout
fund, european central, debt crisis, sovereigndebt","ecb, imf, eurozone, euro zone, monetary fund"
Recession,"economic downturn, steep drop, steep decline, downturn, bright spot, hardest hit, hit hard, weak economy, hit bottom, hard hit, economic slowdown, weak demand, sharp drop, economic slump, slump, weaken economy, steep,
lowest
level, gloomy, sharp decline","economic downturn, steep drop, steep decline, downturn, bright spot"
Product prices,"raise price,
increase price, price reduction, price increase, price cut, wholesale price, higher cost, cut price, retail price, reduce price, price power, rise cost, higher price, cost
increase, slash price,
list price, discount price, price war,
increase cost, price tag","raise price, increase price, price reduction, price increase, price cut"
Optimism,"cautious optimistic, remain optimistic, remain cautious, remain uncertain, uncertainty surrounding, positive sign, optimistic, overly optimistic, cautious, remain confident, remain skeptical, express confidence, positive impact, positive, optimism, uncertain, remain concern, uncertainty, remain wary, economic uncertainty","cautious optimistic, remain optimistic, remain cautious, remain uncertain, uncertainty surrounding"
Macroeconomic data,"seasonal variation, durable good, construction spend, seasonal adjust, nonresidential, business inventory, nondurable, durable, conference board,
jobless claim, manager index,
factory order, purchase manager, supply management, manufacture activity, seasonal,
initial claim, adjust annual,
lead indicator, adjust basis","seasonal variation, durable good, construction spend, seasonal adjust, nonresidential"
Profits,"net profit, profit rose, profit
fell, firsthalf net, profit
increase, profit
jump, operate profit, profit climb, profit surge, pretax profit, profit dropped, profit rise, firsthalf, profit decline, group sale, group net, firsthalf profit, group profit,
fullyear net, post rise","net profit, profit rose, profit
fell, firsthalf net, profit
increase"
Revised estimate,"previous estimate, original estimate, preliminary estimate, revision, earlier estimate, revise downward, downward revision,
initial estimate, revise, substan- tial
increase, significant
increase, estimate, official estimate, significant
impact, substantial reduce, previous thought, government estimate, figure, figure show, revise wsj","previous estimate, original estimate, preliminary estimate, revision, earlier estimate"
Earnings losses,"loss include, net
loss, discontinue operation, operate loss,
loss widen, pretax charge, discontinue, aftertax charge, post
loss, restructure charge, writedown, include loss,
loss narrow, restructure cost, pretax loss, expect
loss,
loss total, report
loss,
impairment, special charge","loss include, net
loss, discontinue operation, operate loss, loss widen"
Small changes,"typical require, average yield, decline slight, decrease, slight
increase, remain unchanged, remain flat, sharp increase, part reflect, slight decline,
increase reflect, continue decline,
fell slight, slight,
jumbo, slight higher, period,
total number, rose slight, attribute","typical require, average yield, decline slight, decrease, slight
increase"
Financial reports,"ended sept,
forma, pro forma, ended march,
latest fiscal, march compare, current fiscal,
full fiscal, ended, company fiscal, period ended, fiscal, sept, fisca- lyear, pro, fiscal earn, report revenue, report sale, company expect, march Table IA.I – Continued from previous page","ended sept, forma, pro forma, ended march, latest fiscal"
Earnings forecasts,"adjust earn, analyst earn, analyst poll,
forecast earn, earn forecast, earningspershare, earn expectation, beat expectation, earn guidance, earn estimate, earn projection, earn growth, earn release, company forecast, analyst
forecast, analyst expect, report earn, project earn, earn season, revenue forecast","adjust earn, analyst earn, analyst poll, forecast earn, earn forecast"
Earnings,"cent dilute, dilute share, share revenue, share relate, callthomson financial, cent share, callthomson, call consensus, pershare figure,
thomson financialfirst, share exclude, financialfirst call, financialfirst, earlier exclude, period revenue,
income total, net
income, dilute, share compare, exclude special","cent dilute, dilute share, share revenue, share relate, callthomson financial"
IPOs,"ipo,
ipo market,
initial public, public offer,
ipo price, firstday, public stock, stock offer, roadshow, offer price,
followon, price range, secondary offer, share offer, public market,
initial offer,
lockup, prospectus, company initial,
lead underwriter","ipo, ipo market, initial public, public offer, ipo price"
Bond yields,"yield rise, highyield bond, sell bond, yield fall, corporatebond, bond issue,
treasury yield,
issue bond, municipalbond, bond sale, higher yield,
treasury debt, highyield, high yield, bond portfolio, bond deal, risk premium, muni, buy bond, governmentbond","yield rise, highyield bond, sell bond, yield fall, corporatebond"
Short sales,"short seller, short
interest, short sell, borrow stock, borrow share, shortselling, shortsellers, short sale, sell borrow, seller, short position, prospective buyer, find buyer, potential buyer, buyer, short,
investor sell, share sold, purchaser,
foreign buyer","short seller, short
interest, short sell, borrow stock, borrow share"
Small caps,"york smallcapitalization, poor smallcap, smallcapitalization stock, russell
index, nyse rose, smallcap index, smallcap market, nyse fell, nasdaq gain, small- capitalization, nasdaq fell, nasdaq rose, nasdaq advance, smallcap stock,
initiate coverage, nasdaq decline, smallcap, add cent, market perform,
lost cent","york smallcapitalization, poor smallcap, smallcapitalization stock, russell
index, nyse rose"
Treasury bonds,"accept noncompetly, cusip, bid widen, price accept, noncompetitive tender, coupon equivalent, application accept, price rate, cusip number, bill mature, noncompetly, bid narrow, accept noncompetitive, rate coupon, bid accept,
fourweek bill, minimum denominations, marketclearing, competitive tender, equivalent yield","accept noncompetly, cusip, bid widen, price accept, noncompetitive tender"
International exchanges,"perspective geneva, dax stock, australia world, switzerland australia, germany hong, firstsection, firstsection volume,
international perspective, kong switzer- land,
index calculate, world index,
index eafe, mscip, stanley capital, xetra dax,
timesstock exchange, firstsection issue, msci
indexes, share index,
japan france","perspective geneva, dax stock, australia world, switzerland australia, germany hong"
Exchanges/composites,"composite trade, exchange composite, exchange trade, market composite, york stock, stock exchange, adrs, share close, board trade, composite, close un- changed, depositary, share rose, depositary receipt, board composite,
trade share, american depositary, share fell, depositary share, stock close","composite trade, exchange composite, exchange trade, market composite, york stock"
Currencies/metals,"dollar british,
frankfurt gold, home mkt, dollar french,
london toronto, comex base,
tokyo zurich, comex london, yen swiss, ounce comex,
toronto paris, yen sterling, pound canadian, yen late,
franc japanese,
franc west, mark base, dollar stood, mark late, paris tokyo","dollar british, frankfurt gold, home mkt, dollar french, london toronto"
Share payouts,"nyse symbol, share buyback, stock buyback, dividend increase, buyback, buyback program, share repurchase, share common, pay dividend,
time estimate, stock repurchase, dividend yield, daily trade, dividend payment, dividend, special dividend, cash dividend, annual dividend, average daily, share share Table IA.I – Continued from previous page","nyse symbol, share buyback, stock buyback, dividend increase, buyback"
Bear/bull market,"bear market, bull market, stock pick, stockpicking, priceearnings ratio, growth stock, pricetoearnings ratio, bull, priceearnings, pricetoearnings, contrarian, stock portfolio, wilshire,
foreign stock, ned, stockmarket, overvalued,
investment strategist, big stock, beatendown","bear market, bull market, stock pick, stockpicking, priceearnings ratio"
Commodities,"cocoa exchange, comex division, sugar cocoa, coffee sugar, soybean future, coffee future,
lifeofcontract, pork belly, wheat
future, york cotton, copper future, march contract, commodity market, william oneill, commodity fund, corn future, contract rose, contract
fell, cotton exchange,
future price","cocoa exchange, comex division, sugar cocoa, coffee sugar, soybean future"
Trading activity,"action stock,
fell bond, market action, otc trade, volume total,
investor report,
issue advance, board volume,
index exclude,
transportation average, otc market, otc, share chang, stock advance, board issue, bond gain, professional
investor, decline stock, euro rose, active issue","action stock, fell bond, market action, otc trade, volume total"
Options/VIX,"option exchange, volatility index, board option, contract compare, put
trade, option strategist, option market, vix, cboe, option trader, call
trade, cftc, option trade, euronext, call option,
trade contract, put option, option contract,
future exchange, exchange official","option exchange, volatility index, board option, contract compare, put
trade"
M&A,"combine company, merge company, propose merger, combine entity, merger plan, merger talk, planned merger, merger, planned acquisition, antitrust concern, merge, deal close, propose acquisition, synergy, deal announce, deal valued, merger partner, antitrust regulator, acquire close, consolidation","combine company, merge company, propose merger, combine entity, merger plan"
Control stakes,"control stake, minority stake, majority stake, buy stake, abn, sell stake, remain stake, bought stake, minority shareholder, owns stake, acquire stake, hold stake, abn amro, amro, ownership stake, stake, company controlled,
large stake, control
interest, equity stake","control stake, minority stake, majority stake, buy stake, abn"
Drexel,"drexel,
leverage buyout, kohlberg kravis, drexel burnham,
transaction finance, kohlberg, kravis robert, kravis, boesky, pickens, burnham lambert, burnham, buyout group,
lambert,
investor acquire,
fund generate,
ivan boesky, finance large, boone pickens, hicks","drexel, leverage buyout, kohlberg kravis, drexel burnham, transaction finance"
SEC,"sec file, sec, sec allege, sec official, commission file, sec enforcement, sec chairman, exchange commission, sec staff, sec investigation, sec spokesman, sec charge, arthur levitt, nonpublic information, chairman arthur, nonpublic, file show, violate security, enforcement division, sec rule","sec file, sec, sec allege, sec official, commission file"
Bankruptcy,"bankruptcy, unsecured creditor, bankruptcy court,
federal bankruptcy, bankruptcy code, chapter company, creditor lawsuit, bankruptcy judge, reorganiza- tion plan, bankruptcy protection, bankruptcylaw, chapter bankruptcy, chapter, creditor committee, court protection, bankruptcy file, bankruptcy proceed, bankruptcylaw protection, bankruptcy law, chapter protection","bankruptcy, unsecured creditor, bankruptcy court, federal bankruptcy, bankruptcy code"
Corporate governance,"annual meet, shareholder meet, proxy contest, corporate governance,
independent director, dissident shareholder, board seat, proxy battle, annual share- holder, proxy fight, shareholder vote, member board, shareholder group,
institutional shareholder, board vote, bylaws, proxy material, governance, board meet, board member","annual meet, shareholder meet, proxy contest, corporate governance, independent director"
Takeovers,"poison pill, hostile takeover,
takeover bid, hostile bid, ashare offer, hostile tender, ashare tender, higher offer,
takeover battle,
takeover attempt,
takeover offer, ashare bid,
takeover defense, poisonpill, unsolicited bid,
tender offer, unsolicited offer,
takeover proposal, bid war, ashare Table IA.I – Continued from previous page","poison pill, hostile takeover, takeover bid, hostile bid, ashare offer"
Real estate,"real estate, reit, estate investment, realestate investment, estate market, estate, estate developer, estate development, commercial real, realty trust, realty, investment
trust,
limit partnership, realestate company, commercial property, realestate, commercial realestate, realestate market, real, property","real estate, reit, estate investment, realestate investment, estate market"
Convertible/preferred,"common share, preferred share, convertible preferred, common stock, class common, convertible debenture, company common, national overthecounter, convertible subordinate, preferred, preferred stock, overthecounter trade, class stock, stock outstanding, principal amount, corporate purpose, redeemable, share outstanding, convertible, newly issue","common share, preferred share, convertible preferred, common stock, class common"
"Mutual
funds","compound yield, simple yield, money fund,
taxfree fund, assume reinvestment,
taxable fund, stock fund,
taxable money,
fund company,
taxexempt
fund, moneymarket
fund, closedend, company institute, noload, morningstar,
fund rose, mutual
fund, vanguard,
fund industry,
fund fell","compound yield, simple yield, money fund, taxfree fund, assume reinvestment"
Accounting,"andersen, account firm, kpmg, arthur andersen,
fasb, deloitte, ernst young, audit firm, ernst, skadden, peat marwick, deloitte touche, skadden arps, meagher flom, arps, standard board, marwick, arps slate, slate meagher, meagher","andersen, account firm, kpmg, arthur andersen, fasb"
Investment banking,"csfb, sachs group, goldman, suisse group, sachs, goldman sachs, credit suisse, suisse, ubs, morgan, dimon, group credit, stanley, morgan stanley, morgan chase, ubs warburg, swiss bank,
investmentbanking, stanley dean, mack","csfb, sachs group, goldman, suisse group, sachs"
Acquired investment,"salomon smith, smith barney, barney, merrill, bear stearns, stearns, merrill
lynch,
lynch, stearns cos, painewebber group, salomon,
lufkin, donaldson lufkin, jenrette, donaldson, shearson,
lufkin jenrette, brokerage unit, brokerage business, kidder","salomon smith, smith barney, barney, merrill, bear stearns"
Private equity/hedge,"hedge fund, privateequity, privateequity firm, hedgefund, blackstone, carlyle, privateequity fund, hedgefund firm, hedgefund manager, blackstone group,
tpg, management
llc, bain capital, carlyle group, private equity, sovereignwealth fund, sovereignwealth, capital
llc, soros, partner llc","hedge fund, privateequity, privateequity firm, hedgefund, blackstone"
NASD,"nasd, customer account, security transaction, member firm, barred, disciplinary action, admit, disciplinary, misappropriated, deny, fine, security dealer, restitution, misrepresentations, authorization, consent, suspend, quotation, supervisory, unauthorized","nasd, customer account, security transaction, member firm, barred"
Savings & loans,"fdic,
thrift,
loan association,
federal deposit,
federal save, deposit
insurance, bank board, save loan,
thrift
industry,
loan insurance,
thrift supervision, rtc, save association,
insurance fund,
fail bank,
federal
insure, bank failure, save bank,
loan bank, depositors","fdic, thrift, loan association, federal deposit, federal save"
Nonperforming loans,"wells fargo,
fargo,
loanloss provision, bruyette, bankamerica, keefe bruyette, bruyette wood, nonperforming asset,
loanloss, noninterest,
interest margin, nonperforming, nonperforming loan, nationsbank,
interstate bancorp,
loanloss reserve, suntrust, pnc,
loan growth, security pacific","wells fargo, fargo, loanloss provision, bruyette, bankamerica"
Credit ratings,"debt rate, fitch rate, rate firm, rate service, creditwatch, rate agency, creditrating,
taxes depreciation,
junk status, notches, creditrating agency, senior debt, interest
taxes, rate downgrade, operate cash, ebitda, negative implication, poor rate, rate company, fitch Table IA.I – Continued from previous page","debt rate, fitch rate, rate firm, rate service, creditwatch"
Financial crisis,"stress test, relief program,
large financial,
trouble asset, financial system, creditdefault swap, financial regulator, creditdefault, financial firm, financial crisis, credit crisis, secretary henry, financial regulation,
timothy geithner, geithner, government bailout, henry paulson, financial
instrument, bank balance, basel","stress test, relief program, large financial, trouble asset, financial system"
Bank loans,"syndicate loan, revolving credit, credit
line,
libor, credit agreement,
loan agreement, revolving, bank loan, creditor bank, rescheduling, credit
facility, princi- pal payment, shortterm loan, repayment,
loan program, corporate loan, bank debt,
interbank offer, offer rate,
london interbank","syndicate loan, revolving credit, credit
line, libor, credit agreement"
Mortgages,"fixedrate mortgage, home price, home buyer, adjustablerate mortgage, mortgage rate, countrywide,
federal house, mortgage company, mortgage lender, mortgage payment, mortgage banker,
foreclosure,
fannie,
freddie, realtors, countrywide financial, mortgage loan, home mortgage, adjustablerate, house market","fixedrate mortgage, home price, home buyer, adjustablerate mortgage, mortgage rate"
Labor/Income,"['executive pay', 'bonus', 'base salary', 'total compensation', 'pay package', 'compensation package', 'compensation committee', 'restrict stock', 'tyco', 'executive compensation', 'bonuses', 'stockoption', 'stock option', 'compensation', 'annual salary', 'tyco international', 'exercise option', 'severance package', 'severance payment', 'exercise price']","executive pay, bonus, base salary, total compensation, pay package"
Job cuts,"['job cut', 'work force', 'fulltime employee', 'layoff', 'eliminate job', 'attrition', 'cut job', 'employment opportunity', 'employee work', 'unemployed', 'workforce', 'find job', 'parttime', 'lost job', 'temporary worker', 'retraining', 'job loss', 'skill worker', 'fulltime', 'humanresources']","job cut, work force, fulltime employee, layoff, eliminate job"
Unions,"['uaw', 'teamsters', 'relation board', 'union member', 'national labor', 'labor relation', 'picket line', 'worker union', 'union leader', 'nonunion', 'union official', 'international union', 'walkout', 'collective bargain', 'strikers', 'teamsters union', 'picket', 'union worker', 'labor agreement', 'contract talk']","uaw, teamsters, relation board, union member, national labor"
Health insurance,"['hmo', 'health plan', 'health coverage', 'health care', 'manage care', 'blue cross', 'health insurance', 'care act', 'blue shield', 'healthcare system', 'health maintenance', 'humana', 'affordable care', 'nurse home', 'medical cost', 'healthmaintenance', 'medicaid program', 'health insurer', 'maintenance organization', 'health system']","hmo, health plan, health coverage, health care, manage care"
Pensions,"['pension plan', 'employee retirement', 'benefit guaranty', 'pension', 'state pension', 'retirement system', 'retirement save', 'pension liability', 'retirement benefit', 'pension system', 'pension benefit', 'retirement', 'underfunded', 'retirement plan', 'retirement fund', 'retiree', 'public pension', 'retirement program', 'pension fund', 'retirement age']","pension plan, employee retirement, benefit guaranty, pension, state pension"
Government budgets,"['spend cut', 'deficit reduction', 'grammrudman', 'federal budget', 'balance budget', 'budget plan', 'cbo', 'house budget', 'entitlement program', 'budget', 'fiscal budget', 'federal spend', 'budget process', 'budget proposal', 'cut spend', 'budget office', 'domestic spend', 'congressional budget', 'budget cut', 'budget gap']","spend cut, deficit reduction, grammrudman, federal budget, balance budget"
Fees,"['fee paid', 'pay fee', 'fee', 'charge fee', 'fee charge', 'higher fee', 'receive payment', 'license fee', 'company pay', 'upfront', 'annual fee', 'reimburse', 'total cost', 'paid', 'extra cost', 'cash payment', 'company paid', 'additional cost', 'administrative cost', 'cover cost']","fee paid, pay fee, fee, charge fee, fee charge"
Taxes,"['irs', 'tax rate', 'deduction', 'income tax', 'tax bill', 'irss', 'capitalgains', 'capitalgains tax', 'tax court', 'taxable income', 'corporate tax', 'tax law', 'tax system', 'marginal tax', 'tax expert', 'tax deduction', 'minimum tax', 'incometax rate', 'top tax', 'tax burden']","irs, tax rate, deduction, income tax, tax bill"
Management,"['connecticut', 'stamford conn', 'stamford', 'greenwich conn', 'conn', 'haven conn', 'clark', 'greenwich', 'norwalk', 'norwalk conn', 'westport', 'wallace', 'moore', 'kelley', 'westport conn', 'allen', 'murphy', 'evan', 'robinson', 'cunningham', 'johnson']","connecticut, stamford conn, stamford, greenwich conn, conn"
C-suite,"['executive officer', 'chief operate', 'operate officer', 'financial officer', 'chief financial', 'chairman president', 'officer john', 'officer robert', 'company chief', 'administrative officer', 'named chief', 'chief administrative', 'chairman chief', 'officer told', 'officer david', 'cfo', 'officer', 'remain chairman', 'act chief', 'finance chief']","executive officer, chief operate, operate officer, financial officer, chief financial"
