topic,idx,source,sink,claim,paper_id,abstract
Macroeconomic data,61,confidence measure,asset prices,Large moves in the confidence measure lead to large declines in asset prices,44,"To give empirical content to the model, we directly measure confidence from the cross-section of forecasts from the Survey of Professional Forecasters. We show that there are frequent large moves in the confidence measure in the data. Moreover, in the data, these large moves are contemporaneously highly correlated with large moves in asset returns, highlighting the importance of confidence risk for asset prices. For our quantitative analysis, we calibrate the model to the observed confidence risk and con sumption data. We find that the model can quan titatively account for the negatively skewed and heavy-tailed distribution of returns, even though consumption growth does not contain jumps. Exploiting the fluctuations in confidence risks, we show that the model can capture short and long horizon predictability of excess returns and lack of consumption predictability by price to dividend ratio. Further, large moves in the con fidence measure lead to large declines (negative jumps ) in asset prices, though there are no large moves in consumption. Hence, our model pro vides a mechanism to account for the lack of connection between large asset price moves and consumption fundamentals. I. Model Set-up"
Major concerns,62,confidence risks,excess returns,Fluctuations in confidence risks can capture short and long horizon predictability of excess returns,44,"To give empirical content to the model, we directly measure confidence from the cross-section of forecasts from the Survey of Professional Forecasters. We show that there are frequent large moves in the confidence measure in the data. Moreover, in the data, these large moves are contemporaneously highly correlated with large moves in asset returns, highlighting the importance of confidence risk for asset prices. For our quantitative analysis, we calibrate the model to the observed confidence risk and con sumption data. We find that the model can quan titatively account for the negatively skewed and heavy-tailed distribution of returns, even though consumption growth does not contain jumps. Exploiting the fluctuations in confidence risks, we show that the model can capture short and long horizon predictability of excess returns and lack of consumption predictability by price to dividend ratio. Further, large moves in the con fidence measure lead to large declines (negative jumps ) in asset prices, though there are no large moves in consumption. Hence, our model pro vides a mechanism to account for the lack of connection between large asset price moves and consumption fundamentals. I. Model Set-up"
Earnings losses,63,average wealth loss,planned retirement age,The average wealth loss between July 2008 and May/June 2009 is associated with an increase in planned retirement age of approximately 2.5 months,45,"This study uses data from pre- and post-crash surveys from the Cognitive Economics study to examine the impact of recent stock and labor market wealth losses on the planned retirement ages of older Americans. Regression estimates imply that the average wealth loss between July 2008 and May/June 2009 is associated with an increase in planned retirement age of approximately 2.5 months. Furthermore, pessimism about future stock market returns is found to amplify the impact of wealth losses on retirement timing."
Earnings losses,64,pessimism about future stock market returns,retirement timing,Pessimism about future stock market returns amplifies the impact of wealth losses on retirement timing,45,"This study uses data from pre- and post-crash surveys from the Cognitive Economics study to examine the impact of recent stock and labor market wealth losses on the planned retirement ages of older Americans. Regression estimates imply that the average wealth loss between July 2008 and May/June 2009 is associated with an increase in planned retirement age of approximately 2.5 months. Furthermore, pessimism about future stock market returns is found to amplify the impact of wealth losses on retirement timing."
Bear / bull market,65,equity market returns,art prices,Equity market returns have had a significant impact on the price level in the art market over the last two centuries.,46,"This paper investigates the impact of equity markets and top incomes on art prices. Using a newly constructed art market index, we demonstrate that equity market returns have had a significant impact on the price level in the art market over the last two centuries. We also find evidence that an increase in income inequality may lead to higher prices for art. Finally, the results of Johansen's cointegration tests strongly suggest the existence of a long-run relation between top incomes and art prices."
Arts,66,income inequality,art prices,An increase in income inequality may lead to higher prices for art.,46,"This paper investigates the impact of equity markets and top incomes on art prices. Using a newly constructed art market index, we demonstrate that equity market returns have had a significant impact on the price level in the art market over the last two centuries. We also find evidence that an increase in income inequality may lead to higher prices for art. Finally, the results of Johansen's cointegration tests strongly suggest the existence of a long-run relation between top incomes and art prices."
Arts,67,top incomes,art prices,There is a long-run relation between top incomes and art prices.,46,"This paper investigates the impact of equity markets and top incomes on art prices. Using a newly constructed art market index, we demonstrate that equity market returns have had a significant impact on the price level in the art market over the last two centuries. We also find evidence that an increase in income inequality may lead to higher prices for art. Finally, the results of Johansen's cointegration tests strongly suggest the existence of a long-run relation between top incomes and art prices."
Macroeconomic data,68,Bad market news,stock returns,Bad market news triggers the immediate release of information by firms which affects stock returns.,47,"We consider the strategic timing of information releases in a dynamic disclosure model. Because investors don't know whether or when the firm is informed, the firm will not necessarily disclose immediately. We show that bad market news can trigger the immediate release of information by firms. Conversely, good market news slows the release of information by firms. Thus, our model generates clustering of negative announcements. Surprisingly, this result holds only when firms can preemptively disclose their own information prior to the arrival of external information. These results have implications for conditional variance and skewness of stock returns. (JEL D21, D83, G12, G14, L11)"
Trading activity,69,Good market news,stock returns,Good market news slows the release of information by firms which affects stock returns.,47,"We consider the strategic timing of information releases in a dynamic disclosure model. Because investors don't know whether or when the firm is informed, the firm will not necessarily disclose immediately. We show that bad market news can trigger the immediate release of information by firms. Conversely, good market news slows the release of information by firms. Thus, our model generates clustering of negative announcements. Surprisingly, this result holds only when firms can preemptively disclose their own information prior to the arrival of external information. These results have implications for conditional variance and skewness of stock returns. (JEL D21, D83, G12, G14, L11)"
Wide range,70,extreme payoffs,stock market returns,Extreme payoffs receive disproportionate weight in the market valuation of assets leading to stock market returns.,48,"We present a simple model of asset pricing in which payoff salience drives investors' demand for risky assets. The key implication is that extreme payoffs receive disproportionate weight in the market valuation of assets. The model accounts for several puzzles in finance in an intuitive way, including preference for assets with a chance of very high payoffs, an aggregate equity premium, and countercyclical variation in stock market returns."
Earnings forecasts,71,preference for assets with very high payoffs,stock market returns,Preference for assets with a chance of very high payoffs influences stock market returns.,48,"We present a simple model of asset pricing in which payoff salience drives investors' demand for risky assets. The key implication is that extreme payoffs receive disproportionate weight in the market valuation of assets. The model accounts for several puzzles in finance in an intuitive way, including preference for assets with a chance of very high payoffs, an aggregate equity premium, and countercyclical variation in stock market returns."
Schools,72,"major-specific measures of the relative importance of abstract, routine, and manual tasks on the job",earnings,"Changes in the relationship between earnings and major-specific measures of the relative importance of abstract, routine, and manual tasks on the job can account for about two-thirds of the rise in inequality.",49,"We show that, among college graduates, earnings differentials across field of study have increased substantially since the early 1990s. We study the degree to which this increase can be accounted for by changes in the labor market return to skills associated with a major. To do so, we define major-specific measures of the relative importance of abstract, routine, and manual tasks on the job, by linking majors to the occupations they typically lead to. Changes in the relationship between earnings and these measures can account for about two-thirds of the rise in inequality."
Product prices,73,stickier prices,stock market returns,"After monetary policy announcements, the conditional volatility of stock market returns rises more for firms with stickier prices than for firms with more flexible prices.",50,"We show that after monetary policy announcements, the conditional volatility of stock market returns rises more for firms with stickier prices than for firms with more flexible prices. This differential reaction is economically large and strikingly robust to a broad array of checks. These results suggest that menu costs—broadly defined to include physical costs of price adjustment, informational frictions, etc.—are an important factor for nominal price rigidity at the micro level. We also show that our empirical results are qualitatively and, under plausible calibrations, quantitatively consistent with New Keynesian macroeconomic models in which firms have heterogeneous price stickiness. (JEL E12, E31, E43, E44, E52, G12, L11)"
Small changes,74,menu costs,stock market returns,"Menu costs are an important factor for nominal price rigidity at the micro level, which influences stock market returns.",50,"We show that after monetary policy announcements, the conditional volatility of stock market returns rises more for firms with stickier prices than for firms with more flexible prices. This differential reaction is economically large and strikingly robust to a broad array of checks. These results suggest that menu costs—broadly defined to include physical costs of price adjustment, informational frictions, etc.—are an important factor for nominal price rigidity at the micro level. We also show that our empirical results are qualitatively and, under plausible calibrations, quantitatively consistent with New Keynesian macroeconomic models in which firms have heterogeneous price stickiness. (JEL E12, E31, E43, E44, E52, G12, L11)"
Product prices,75,price of traded permits,marginal abatement cost,The price of traded permits reveals the marginal abatement cost,52,"This paper develops a method for forecasting the marginal abatement cost (MAC) of climate policy using three features of the failed Waxman-Markey bill. First, the MAC is revealed by the price of traded permits. Second, the permit price is estimated using a regression discontinuity design (RDD) comparing stock returns of firms on either side of the policy's free permit cutoff rule. Third, because Waxman-Markey was never implemented, I extend the RDD approach to incorporate prediction market prices which normalize estimates by policy realization probabilities. A final bounding analysis recovers a MAC range of $5 to $19 per ton CO 2 e. (JEL G12, G14, Q52, Q54, Q58)"
Product prices,76,information content of prices,stock returns,"When prices reflect less information, the conditional variance of stock returns rises, causing an increase in uncertainty and costly distortions in consumption, capital accumulation, and labor supply.",53,"We show that the stock market may fail to aggregate information even if it appears to be efficient, and that the resulting decrease in the information content of prices may drastically reduce welfare. We solve a macroeconomic model in which information about fundamentals is dispersed and households make small, correlated errors when forming expectations about future productivity. As information aggregates in the market, these errors amplify and crowd out the information content of stock prices. When prices reflect less information, the conditional variance of stock returns rises, causing an increase in uncertainty and costly distortions in consumption, capital accumulation, and labor supply. (JEL D14, D83, D84, E21, E22, E24, G14)"
Earnings,77,aggregate risk exposure of individual earnings,stock returns,Aggregate risk exposure of individual earnings leads to variations in stock returns,54,"The magnitude of and heterogeneity in systematic earnings risk has important implications for various theories in macro, labor, and financial economics. Using administrative data, we document how the aggregate risk exposure of individual earnings to GDP and stock returns varies across gender, age, the worker's earnings level, and industry. Aggregate risk exposure is U-shaped with respect to the earnings level. In the middle of the earnings distribution, aggregate risk exposure is higher for males, younger workers, and construction and durable manufacturing. At the top of the earnings distribution, aggregate risk exposure is higher for older workers and finance."
Earnings,78,younger workers,stock returns,"The aggregate risk exposure for younger workers is higher, impacting stock returns",54,"The magnitude of and heterogeneity in systematic earnings risk has important implications for various theories in macro, labor, and financial economics. Using administrative data, we document how the aggregate risk exposure of individual earnings to GDP and stock returns varies across gender, age, the worker's earnings level, and industry. Aggregate risk exposure is U-shaped with respect to the earnings level. In the middle of the earnings distribution, aggregate risk exposure is higher for males, younger workers, and construction and durable manufacturing. At the top of the earnings distribution, aggregate risk exposure is higher for older workers and finance."
Gender issues,79,males,stock returns,"The aggregate risk exposure for males is higher, impacting stock returns",54,"The magnitude of and heterogeneity in systematic earnings risk has important implications for various theories in macro, labor, and financial economics. Using administrative data, we document how the aggregate risk exposure of individual earnings to GDP and stock returns varies across gender, age, the worker's earnings level, and industry. Aggregate risk exposure is U-shaped with respect to the earnings level. In the middle of the earnings distribution, aggregate risk exposure is higher for males, younger workers, and construction and durable manufacturing. At the top of the earnings distribution, aggregate risk exposure is higher for older workers and finance."
Macroeconomic data,80,construction and durable manufacturing workers,stock returns,"The aggregate risk exposure for workers in construction and durable manufacturing is higher, impacting stock returns",54,"The magnitude of and heterogeneity in systematic earnings risk has important implications for various theories in macro, labor, and financial economics. Using administrative data, we document how the aggregate risk exposure of individual earnings to GDP and stock returns varies across gender, age, the worker's earnings level, and industry. Aggregate risk exposure is U-shaped with respect to the earnings level. In the middle of the earnings distribution, aggregate risk exposure is higher for males, younger workers, and construction and durable manufacturing. At the top of the earnings distribution, aggregate risk exposure is higher for older workers and finance."
Earnings,81,older workers,stock returns,"The aggregate risk exposure for older workers is higher, impacting stock returns",54,"The magnitude of and heterogeneity in systematic earnings risk has important implications for various theories in macro, labor, and financial economics. Using administrative data, we document how the aggregate risk exposure of individual earnings to GDP and stock returns varies across gender, age, the worker's earnings level, and industry. Aggregate risk exposure is U-shaped with respect to the earnings level. In the middle of the earnings distribution, aggregate risk exposure is higher for males, younger workers, and construction and durable manufacturing. At the top of the earnings distribution, aggregate risk exposure is higher for older workers and finance."
Earnings,82,finance workers,stock returns,"The aggregate risk exposure for workers in finance is higher, impacting stock returns",54,"The magnitude of and heterogeneity in systematic earnings risk has important implications for various theories in macro, labor, and financial economics. Using administrative data, we document how the aggregate risk exposure of individual earnings to GDP and stock returns varies across gender, age, the worker's earnings level, and industry. Aggregate risk exposure is U-shaped with respect to the earnings level. In the middle of the earnings distribution, aggregate risk exposure is higher for males, younger workers, and construction and durable manufacturing. At the top of the earnings distribution, aggregate risk exposure is higher for older workers and finance."
Currencies / metals,83,quanto forecast variable,excess returns on currency trades,The quanto forecast variable is an economically and statistically significant predictor of excess returns on currency trades.,55,"We present a new identity that relates expected exchange rate appreciation to a risk-neutral covariance term, and use it to motivate a currency forecasting variable based on the prices of quanto index contracts. We show via panel regressions that the quanto forecast variable is an economically and statistically significant predictor of currency appreciation and of excess returns on currency trades. Out of sample, the quanto variable outperforms predictions based on uncovered interest parity, on purchasing power parity, and on a random walk as a forecaster of differential (dollar-neutral) currency appreciation. (JEL C53, E43, F31, F37, G12, G15)"
Schools,84,unconditional cash grants,stock returns,Unconditional cash grants to private schools lead to above-market returns,56,"We assess whether financing can help private schools, which now account for one-third of primary school enrollment in low- and middle-income countries. Our experiment allocated unconditional cash grants to either one (L) or all (H) private schools in a village. In both arms, enrollment and revenues increased, leading to above-market returns. However, test scores increased only in H schools, accompanied by higher fees, and a greater focus on teachers. We provide a model demonstrating that market forces can provide endogenous incentives to increase quality and increased financial saturation can be used to leverage competition, generating socially desirable outcomes. (JEL I21, I22, I25, I28, L22, L26, N75, O15, O16)"
Share payouts,85,buying pressure from dividend payments,aggregate market stock returns,Buying pressure from dividend payments predicts higher value-weighted market returns,57,"We demonstrate that predictable uninformed cash flows forecast aggregate market stock returns. Buying pressure from dividend payments (announced weeks prior) predicts higher value-weighted market returns, with returns for the top quintile of payment days four times higher than the lowest. This holds internationally and increases when reinvestment is high and market liquidity is low. We estimate a market-level price multiplier of 1.9. These results suggest price pressure is a widespread result of flows, not an anomaly. (JEL G12, G14, G35)"
Earnings forecasts,86,growth forecasts,stock returns,"There are persistent anomalies in growth forecasts and stock returns for software companies, indicating significant deviations from rational expectations.",58,"Software is one of the most important assets that needs to be priced in the digital economy. It has emerged as a disruptive technology, with companies primarily valued for their software offerings growing from 2 percent to 13 percent of market share between 1996 and 2023. We document persistent anomalies in growth forecasts and stock returns for software companies, indicating significant deviations from rational expectations over multiple decades. Our findings are consistent with Bayesian investors gradually learning about software’s growing importance, highlighting how markets can be very slow to discern fundamental shifts from transient shocks in noisy data. (JEL D22, G12, G32, L14, L86)"
Software,87,software's growing importance,stock returns,"Bayesian investors gradually learn about software’s growing importance, affecting stock returns.",58,"Software is one of the most important assets that needs to be priced in the digital economy. It has emerged as a disruptive technology, with companies primarily valued for their software offerings growing from 2 percent to 13 percent of market share between 1996 and 2023. We document persistent anomalies in growth forecasts and stock returns for software companies, indicating significant deviations from rational expectations over multiple decades. Our findings are consistent with Bayesian investors gradually learning about software’s growing importance, highlighting how markets can be very slow to discern fundamental shifts from transient shocks in noisy data. (JEL D22, G12, G32, L14, L86)"
Recession,88,durable consumption falls,stock returns,Small stocks and value stocks deliver relatively low returns during recessions,59,"ABSTRACT When utility is nonseparable in nondurable and durable consumption and the elasticity of substitution between the two consumption goods is sufficiently high, marginal utility rises when durable consumption falls. The model explains both the cross‐sectional variation in expected stock returns and the time variation in the equity premium. Small stocks and value stocks deliver relatively low returns during recessions, when durable consumption falls, which explains their high average returns relative to big stocks and growth stocks. Stock returns are unexpectedly low at business cycle troughs, when durable consumption falls sharply, which explains the countercyclical variation in the equity premium."
Recession,89,durable consumption falls sharply,stock returns,Stock returns are unexpectedly low at business cycle troughs,59,"ABSTRACT When utility is nonseparable in nondurable and durable consumption and the elasticity of substitution between the two consumption goods is sufficiently high, marginal utility rises when durable consumption falls. The model explains both the cross‐sectional variation in expected stock returns and the time variation in the equity premium. Small stocks and value stocks deliver relatively low returns during recessions, when durable consumption falls, which explains their high average returns relative to big stocks and growth stocks. Stock returns are unexpectedly low at business cycle troughs, when durable consumption falls sharply, which explains the countercyclical variation in the equity premium."
Corporate governance,90,weak shareholder rights,stock returns,Weak governance is associated with poor stock returns.,60,"ABSTRACT We investigate Gompers, Ishii, and Metrick's (2003) finding that firms with weak shareholder rights exhibit significant stock market underperformance. If the relation between poor governance and poor returns is causal, we expect that the market is negatively surprised by the poor operating performance of weak governance firms. We find that firms with weak shareholder rights exhibit significant operating underperformance. However, analysts' forecast errors and earnings announcement returns show no evidence that this underperformance surprises the market. Our results are robust to controls for takeover activity. Overall, our results do not support the hypothesis that weak governance causes poor stock returns."
Corporate governance,91,departures of busy outside directors,positive abnormal returns (ARs),Departures of busy outside directors generate positive abnormal returns (ARs).,61,"ABSTRACT Firms with busy boards, those in which a majority of outside directors hold three or more directorships, are associated with weak corporate governance. These firms exhibit lower market‐to‐book ratios, weaker profitability, and lower sensitivity of CEO turnover to firm performance. Independent but busy boards display CEO turnover‐performance sensitivities indistinguishable from those of inside‐dominated boards. Departures of busy outside directors generate positive abnormal returns (ARs). When directors become busy as a result of acquiring an additional directorship, other companies in which they hold board seats experience negative ARs. Busy outside directors are more likely to depart boards following poor performance."
Corporate governance,92,becoming busy as a result of acquiring an additional directorship,negative ARs,"When directors become busy as a result of acquiring an additional directorship, other companies in which they hold board seats experience negative ARs.",61,"ABSTRACT Firms with busy boards, those in which a majority of outside directors hold three or more directorships, are associated with weak corporate governance. These firms exhibit lower market‐to‐book ratios, weaker profitability, and lower sensitivity of CEO turnover to firm performance. Independent but busy boards display CEO turnover‐performance sensitivities indistinguishable from those of inside‐dominated boards. Departures of busy outside directors generate positive abnormal returns (ARs). When directors become busy as a result of acquiring an additional directorship, other companies in which they hold board seats experience negative ARs. Busy outside directors are more likely to depart boards following poor performance."
Pensions,93,severely underfunded pension plans,stock returns,Firms with severely underfunded pension plans earn lower stock returns than firms with healthier pension plans.,62,"ABSTRACT The paper argues that the market significantly overvalues firms with severely underfunded pension plans. These companies earn lower stock returns than firms with healthier pension plans for at least 5 years after the first emergence of the underfunding. The low returns are not explained by risk, price momentum, earnings momentum, or accruals. Further, the evidence suggests that investors do not anticipate the impact of the pension liability on future earnings, and they are surprised when the negative implications of underfunding ultimately materialize. Finally, underfunded firms have poor operating performance, and they earn low returns, although they are value companies."
Corporate governance,94,larger cash holdings,stock returns,The marginal value of cash declines with larger cash holdings,63,"ABSTRACT We examine the cross‐sectional variation in the marginal value of corporate cash holdings that arises from differences in corporate financial policy. We begin by providing semi‐quantitative predictions for the value of an extra dollar of cash depending upon the likely use of that dollar, and derive a set of intuitive hypotheses to test empirically. By examining the variation in excess stock returns over the fiscal year, we find that the marginal value of cash declines with larger cash holdings, higher leverage, better access to capital markets, and as firms choose greater cash distribution via dividends rather than repurchases."
Bank loans,95,higher leverage,stock returns,The marginal value of cash declines with higher leverage,63,"ABSTRACT We examine the cross‐sectional variation in the marginal value of corporate cash holdings that arises from differences in corporate financial policy. We begin by providing semi‐quantitative predictions for the value of an extra dollar of cash depending upon the likely use of that dollar, and derive a set of intuitive hypotheses to test empirically. By examining the variation in excess stock returns over the fiscal year, we find that the marginal value of cash declines with larger cash holdings, higher leverage, better access to capital markets, and as firms choose greater cash distribution via dividends rather than repurchases."
Investment banking,96,better access to capital markets,stock returns,The marginal value of cash declines with better access to capital markets,63,"ABSTRACT We examine the cross‐sectional variation in the marginal value of corporate cash holdings that arises from differences in corporate financial policy. We begin by providing semi‐quantitative predictions for the value of an extra dollar of cash depending upon the likely use of that dollar, and derive a set of intuitive hypotheses to test empirically. By examining the variation in excess stock returns over the fiscal year, we find that the marginal value of cash declines with larger cash holdings, higher leverage, better access to capital markets, and as firms choose greater cash distribution via dividends rather than repurchases."
Share payouts,97,greater cash distribution via dividends rather than repurchases,stock returns,The marginal value of cash declines as firms choose greater cash distribution via dividends rather than repurchases,63,"ABSTRACT We examine the cross‐sectional variation in the marginal value of corporate cash holdings that arises from differences in corporate financial policy. We begin by providing semi‐quantitative predictions for the value of an extra dollar of cash depending upon the likely use of that dollar, and derive a set of intuitive hypotheses to test empirically. By examining the variation in excess stock returns over the fiscal year, we find that the marginal value of cash declines with larger cash holdings, higher leverage, better access to capital markets, and as firms choose greater cash distribution via dividends rather than repurchases."
Real estate,98,geographic area of firm headquarters,stock returns,Strong comovement in the stock returns of firms headquartered in the same geographic area.,64,"ABSTRACT We document strong comovement in the stock returns of firms headquartered in the same geographic area. Moreover, stocks of companies that change their headquarters location experience a decrease in their comovement with stocks from the old location and an increase in their comovement with stocks from the new location. The local comovement of stock returns is not explained by economic fundamentals and is stronger for smaller firms with more individual investors and in regions with less financially sophisticated residents. We argue that price formation in equity markets has a significant geographic component linked to the trading patterns of local residents."
Real estate,99,change in headquarters location,stock returns,Stocks of companies that change their headquarters location experience a decrease in their comovement with stocks from the old location and an increase in their comovement with stocks from the new location.,64,"ABSTRACT We document strong comovement in the stock returns of firms headquartered in the same geographic area. Moreover, stocks of companies that change their headquarters location experience a decrease in their comovement with stocks from the old location and an increase in their comovement with stocks from the new location. The local comovement of stock returns is not explained by economic fundamentals and is stronger for smaller firms with more individual investors and in regions with less financially sophisticated residents. We argue that price formation in equity markets has a significant geographic component linked to the trading patterns of local residents."
Size,100,size of firms and number of individual investors,stock returns,Local comovement of stock returns is stronger for smaller firms with more individual investors.,64,"ABSTRACT We document strong comovement in the stock returns of firms headquartered in the same geographic area. Moreover, stocks of companies that change their headquarters location experience a decrease in their comovement with stocks from the old location and an increase in their comovement with stocks from the new location. The local comovement of stock returns is not explained by economic fundamentals and is stronger for smaller firms with more individual investors and in regions with less financially sophisticated residents. We argue that price formation in equity markets has a significant geographic component linked to the trading patterns of local residents."
Trading activity,101,financial sophistication of residents in the region,stock returns,Local comovement of stock returns is stronger in regions with less financially sophisticated residents.,64,"ABSTRACT We document strong comovement in the stock returns of firms headquartered in the same geographic area. Moreover, stocks of companies that change their headquarters location experience a decrease in their comovement with stocks from the old location and an increase in their comovement with stocks from the new location. The local comovement of stock returns is not explained by economic fundamentals and is stronger for smaller firms with more individual investors and in regions with less financially sophisticated residents. We argue that price formation in equity markets has a significant geographic component linked to the trading patterns of local residents."
Positive sentiment,102,investor sentiment,subsequent returns,"When investor sentiment is low, subsequent returns are relatively high for small stocks.",65,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns."
Positive sentiment,103,investor sentiment,subsequent returns,"When investor sentiment is low, subsequent returns are relatively high for young stocks.",65,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns."
Positive sentiment,104,investor sentiment,subsequent returns,"When investor sentiment is low, subsequent returns are relatively high for high volatility stocks.",65,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns."
Positive sentiment,105,investor sentiment,subsequent returns,"When investor sentiment is low, subsequent returns are relatively high for unprofitable stocks.",65,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns."
Positive sentiment,106,investor sentiment,subsequent returns,"When investor sentiment is low, subsequent returns are relatively high for non-dividend-paying stocks.",65,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns."
Positive sentiment,107,investor sentiment,subsequent returns,"When investor sentiment is low, subsequent returns are relatively high for extreme growth stocks.",65,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns."
Positive sentiment,108,investor sentiment,subsequent returns,"When investor sentiment is low, subsequent returns are relatively high for distressed stocks.",65,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns."
Positive sentiment,109,investor sentiment,subsequent returns,"When investor sentiment is high, these categories of stocks earn relatively low subsequent returns.",65,"ABSTRACT We study how investor sentiment affects the cross‐section of stock returns. We predict that a wave of investor sentiment has larger effects on securities whose valuations are highly subjective and difficult to arbitrage. Consistent with this prediction, we find that when beginning‐of‐period proxies for sentiment are low, subsequent returns are relatively high for small stocks, young stocks, high volatility stocks, unprofitable stocks, non‐dividend‐paying stocks, extreme growth stocks, and distressed stocks. When sentiment is high, on the other hand, these categories of stock earn relatively low subsequent returns."
Size,110,industry concentration,stock returns,Firms in more concentrated industries earn lower returns.,66,"ABSTRACT Firms in more concentrated industries earn lower returns, even after controlling for size, book‐to‐market, momentum, and other return determinants. Explanations based on chance, measurement error, capital structure, and persistent in‐sample cash flow shocks do not explain this finding. Drawing on work in industrial organization, we posit that either barriers to entry in highly concentrated industries insulate firms from undiversifiable distress risk, or firms in highly concentrated industries are less risky because they engage in less innovation, and thereby command lower expected returns. Additional time‐series tests support these risk‐based interpretations."
Trading activity,111,short‐run reversals,stock returns,There is a strong relationship between short‐run reversals and stock illiquidity.,67,"ABSTRACT This paper documents a strong relationship between short‐run reversals and stock illiquidity, even after controlling for trading volume. The largest reversals and the potential contrarian trading strategy profits occur in high turnover, low liquidity stocks, as the price pressures caused by non‐informational demands for immediacy are accommodated. However, the contrarian trading strategy profits are smaller than the likely transactions costs. This lack of profitability and the fact that the overall findings are consistent with rational equilibrium paradigms suggest that the violation of the efficient market hypothesis due to short‐term reversals is not so egregious after all."
Earnings,112,financial constraints,expected stock returns,More financially constrained firms are riskier and earn higher expected stock returns than less financially constrained firms.,68,"ABSTRACT We study the effect of financial constraints on risk and expected returns by extending the investment‐based asset pricing framework to incorporate retained earnings, debt, costly equity, and collateral constraints on debt capacity. Quantitative results show that more financially constrained firms are riskier and earn higher expected stock returns than less financially constrained firms. Intuitively, by preventing firms from financing all desired investments, collateral constraints restrict the flexibility of firms in smoothing dividend streams in the face of aggregate shocks. The inflexibility mechanism also gives rise to a convex relation between market leverage and expected stock returns."
Earnings,113,market leverage,expected stock returns,There is a convex relation between market leverage and expected stock returns.,68,"ABSTRACT We study the effect of financial constraints on risk and expected returns by extending the investment‐based asset pricing framework to incorporate retained earnings, debt, costly equity, and collateral constraints on debt capacity. Quantitative results show that more financially constrained firms are riskier and earn higher expected stock returns than less financially constrained firms. Intuitively, by preventing firms from financing all desired investments, collateral constraints restrict the flexibility of firms in smoothing dividend streams in the face of aggregate shocks. The inflexibility mechanism also gives rise to a convex relation between market leverage and expected stock returns."
Hedging,114,the hedging portfolio return,asset returns,The return of the hedging portfolio should be an additional risk factor in explaining the cross section of asset returns.,69,"ABSTRACT We derive an intertemporal asset pricing model and explore its implications for trading volume and asset returns. We show that investors trade in only two portfolios: the market portfolio, and a hedging portfolio that is used to hedge the risk of changing market conditions. We empirically identify the hedging portfolio using weekly volume and returns data for U.S. stocks, and then test two of its properties implied by the theory: Its return should be an additional risk factor in explaining the cross section of asset returns, and should also be the best predictor of future market returns."
